Start Archetype,Plot Type,Opposing Archetype
The Hero,Overcoming the Monster,The Mentor
The Hero,Overcoming the Monster,The Ally
The Hero,Overcoming the Monster,The Herald
The Hero,Overcoming the Monster,The Trickster
The Hero,Overcoming the Monster,The Shapeshifter
The Hero,Overcoming the Monster,The Guardian
The Hero,Overcoming the Monster,The Shadow
The Hero,Overcoming the Monster,The Ruler
The Hero,Overcoming the Monster,The Creator
The Hero,Overcoming the Monster,The Innocent
The Hero,Overcoming the Monster,The Outlaw
The Hero,Rags to Riches,The Mentor
The Hero,Rags to Riches,The Ally
The Hero,Rags to Riches,The Herald
The Hero,Rags to Riches,The Trickster
The Hero,Rags to Riches,The Shapeshifter
The Hero,Rags to Riches,The Guardian
The Hero,Rags to Riches,The Shadow
The Hero,Rags to Riches,The Ruler
The Hero,Rags to Riches,The Creator
The Hero,Rags to Riches,The Innocent
The Hero,Rags to Riches,The Outlaw
The Hero,The Quest,The Mentor
The Hero,The Quest,The Ally
The Hero,The Quest,The Herald
The Hero,The Quest,The Trickster
The Hero,The Quest,The Shapeshifter
The Hero,The Quest,The Guardian
The Hero,The Quest,The Shadow
The Hero,The Quest,The Ruler
The Hero,The Quest,The Creator
The Hero,The Quest,The Innocent
The Hero,The Quest,The Outlaw
The Hero,Voyage and Return,The Mentor
The Hero,Voyage and Return,The Ally
The Hero,Voyage and Return,The Herald
The Hero,Voyage and Return,The Trickster
The Hero,Voyage and Return,The Shapeshifter
The Hero,Voyage and Return,The Guardian
The Hero,Voyage and Return,The Shadow
The Hero,Voyage and Return,The Ruler
The Hero,Voyage and Return,The Creator
The Hero,Voyage and Return,The Innocent
The Hero,Voyage and Return,The Outlaw
The Hero,Comedy,The Mentor
The Hero,Comedy,The Ally
The Hero,Comedy,The Herald
The Hero,Comedy,The Trickster
The Hero,Comedy,The Shapeshifter
The Hero,Comedy,The Guardian
The Hero,Comedy,The Shadow
The Hero,Comedy,The Ruler
The Hero,Comedy,The Creator
The Hero,Comedy,The Innocent
The Hero,Comedy,The Outlaw
The Hero,Tragedy,The Mentor
The Hero,Tragedy,The Ally
The Hero,Tragedy,The Herald
The Hero,Tragedy,The Trickster
The Hero,Tragedy,The Shapeshifter
The Hero,Tragedy,The Guardian
The Hero,Tragedy,The Shadow
The Hero,Tragedy,The Ruler
The Hero,Tragedy,The Creator
The Hero,Tragedy,The Innocent
The Hero,Tragedy,The Outlaw
The Hero,Rebirth,The Mentor
The Hero,Rebirth,The Ally
The Hero,Rebirth,The Herald
The Hero,Rebirth,The Trickster
The Hero,Rebirth,The Shapeshifter
The Hero,Rebirth,The Guardian
The Hero,Rebirth,The Shadow
The Hero,Rebirth,The Ruler
The Hero,Rebirth,The Creator
The Hero,Rebirth,The Innocent
The Hero,Rebirth,The Outlaw
The Mentor,Overcoming the Monster,The Hero
The Mentor,Overcoming the Monster,The Ally
The Mentor,Overcoming the Monster,The Herald
The Mentor,Overcoming the Monster,The Trickster
The Mentor,Overcoming the Monster,The Shapeshifter
The Mentor,Overcoming the Monster,The Guardian
The Mentor,Overcoming the Monster,The Shadow
The Mentor,Overcoming the Monster,The Ruler
The Mentor,Overcoming the Monster,The Creator
The Mentor,Overcoming the Monster,The Innocent
The Mentor,Overcoming the Monster,The Outlaw
The Mentor,Rags to Riches,The Hero
The Mentor,Rags to Riches,The Ally
The Mentor,Rags to Riches,The Herald
The Mentor,Rags to Riches,The Trickster
The Mentor,Rags to Riches,The Shapeshifter
The Mentor,Rags to Riches,The Guardian
The Mentor,Rags to Riches,The Shadow
The Mentor,Rags to Riches,The Ruler
The Mentor,Rags to Riches,The Creator
The Mentor,Rags to Riches,The Innocent
The Mentor,Rags to Riches,The Outlaw
The Mentor,The Quest,The Hero
The Mentor,The Quest,The Ally
The Mentor,The Quest,The Herald
The Mentor,The Quest,The Trickster
The Mentor,The Quest,The Shapeshifter
The Mentor,The Quest,The Guardian
The Mentor,The Quest,The Shadow
The Mentor,The Quest,The Ruler
The Mentor,The Quest,The Creator
The Mentor,The Quest,The Innocent
The Mentor,The Quest,The Outlaw
The Mentor,Voyage and Return,The Hero
The Mentor,Voyage and Return,The Ally
The Mentor,Voyage and Return,The Herald
The Mentor,Voyage and Return,The Trickster
The Mentor,Voyage and Return,The Shapeshifter
The Mentor,Voyage and Return,The Guardian
The Mentor,Voyage and Return,The Shadow
The Mentor,Voyage and Return,The Ruler
The Mentor,Voyage and Return,The Creator
The Mentor,Voyage and Return,The Innocent
The Mentor,Voyage and Return,The Outlaw
The Mentor,Comedy,The Hero
The Mentor,Comedy,The Ally
The Mentor,Comedy,The Herald
The Mentor,Comedy,The Trickster
The Mentor,Comedy,The Shapeshifter
The Mentor,Comedy,The Guardian
The Mentor,Comedy,The Shadow
The Mentor,Comedy,The Ruler
The Mentor,Comedy,The Creator
The Mentor,Comedy,The Innocent
The Mentor,Comedy,The Outlaw
The Mentor,Tragedy,The Hero
The Mentor,Tragedy,The Ally
The Mentor,Tragedy,The Herald
The Mentor,Tragedy,The Trickster
The Mentor,Tragedy,The Shapeshifter
The Mentor,Tragedy,The Guardian
The Mentor,Tragedy,The Shadow
The Mentor,Tragedy,The Ruler
The Mentor,Tragedy,The Creator
The Mentor,Tragedy,The Innocent
The Mentor,Tragedy,The Outlaw
The Mentor,Rebirth,The Hero
The Mentor,Rebirth,The Ally
The Mentor,Rebirth,The Herald
The Mentor,Rebirth,The Trickster
The Mentor,Rebirth,The Shapeshifter
The Mentor,Rebirth,The Guardian
The Mentor,Rebirth,The Shadow
The Mentor,Rebirth,The Ruler
The Mentor,Rebirth,The Creator
The Mentor,Rebirth,The Innocent
The Mentor,Rebirth,The Outlaw
The Ally,Overcoming the Monster,The Hero
The Ally,Overcoming the Monster,The Mentor
The Ally,Overcoming the Monster,The Herald
The Ally,Overcoming the Monster,The Trickster
The Ally,Overcoming the Monster,The Shapeshifter
The Ally,Overcoming the Monster,The Guardian
The Ally,Overcoming the Monster,The Shadow
The Ally,Overcoming the Monster,The Ruler
The Ally,Overcoming the Monster,The Creator
The Ally,Overcoming the Monster,The Innocent
The Ally,Overcoming the Monster,The Outlaw
The Ally,Rags to Riches,The Hero
The Ally,Rags to Riches,The Mentor
The Ally,Rags to Riches,The Herald
The Ally,Rags to Riches,The Trickster
The Ally,Rags to Riches,The Shapeshifter
The Ally,Rags to Riches,The Guardian
The Ally,Rags to Riches,The Shadow
The Ally,Rags to Riches,The Ruler
The Ally,Rags to Riches,The Creator
The Ally,Rags to Riches,The Innocent
The Ally,Rags to Riches,The Outlaw
The Ally,The Quest,The Hero
The Ally,The Quest,The Mentor
The Ally,The Quest,The Herald
The Ally,The Quest,The Trickster
The Ally,The Quest,The Shapeshifter
The Ally,The Quest,The Guardian
The Ally,The Quest,The Shadow
The Ally,The Quest,The Ruler
The Ally,The Quest,The Creator
The Ally,The Quest,The Innocent
The Ally,The Quest,The Outlaw
The Ally,Voyage and Return,The Hero
The Ally,Voyage and Return,The Mentor
The Ally,Voyage and Return,The Herald
The Ally,Voyage and Return,The Trickster
The Ally,Voyage and Return,The Shapeshifter
The Ally,Voyage and Return,The Guardian
The Ally,Voyage and Return,The Shadow
The Ally,Voyage and Return,The Ruler
The Ally,Voyage and Return,The Creator
The Ally,Voyage and Return,The Innocent
The Ally,Voyage and Return,The Outlaw
The Ally,Comedy,The Hero
The Ally,Comedy,The Mentor
The Ally,Comedy,The Herald
The Ally,Comedy,The Trickster
The Ally,Comedy,The Shapeshifter
The Ally,Comedy,The Guardian
The Ally,Comedy,The Shadow
The Ally,Comedy,The Ruler
The Ally,Comedy,The Creator
The Ally,Comedy,The Innocent
The Ally,Comedy,The Outlaw
The Ally,Tragedy,The Hero
The Ally,Tragedy,The Mentor
The Ally,Tragedy,The Herald
The Ally,Tragedy,The Trickster
The Ally,Tragedy,The Shapeshifter
The Ally,Tragedy,The Guardian
The Ally,Tragedy,The Shadow
The Ally,Tragedy,The Ruler
The Ally,Tragedy,The Creator
The Ally,Tragedy,The Innocent
The Ally,Tragedy,The Outlaw
The Ally,Rebirth,The Hero
The Ally,Rebirth,The Mentor
The Ally,Rebirth,The Herald
The Ally,Rebirth,The Trickster
The Ally,Rebirth,The Shapeshifter
The Ally,Rebirth,The Guardian
The Ally,Rebirth,The Shadow
The Ally,Rebirth,The Ruler
The Ally,Rebirth,The Creator
The Ally,Rebirth,The Innocent
The Ally,Rebirth,The Outlaw
The Herald,Overcoming the Monster,The Hero
The Herald,Overcoming the Monster,The Mentor
The Herald,Overcoming the Monster,The Ally
The Herald,Overcoming the Monster,The Trickster
